"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000416544011190223,3.64237737313775,0.421,0,1,"HER2+","PAFAH1B3"
0.000416544011190223,0.316275806069551,0.421,0,1,"HER2+","SEPTIN3"
0.000416544011190223,2.56368285599305,0.421,0,1,"HER2+","CPSF3"
0.000416544011190223,2.81118590983316,0.421,0,1,"HER2+","TTC9"
0.000416544011190223,2.58065982242192,0.421,0,1,"HER2+","ZNF593"
0.000416544011190223,1.88861482296602,0.421,0,1,"HER2+","IGSF3"
0.000416544011190223,0.964748493134299,0.421,0,1,"HER2+","TRMT10A"
0.000416544011190223,1.64339484105274,0.421,0,1,"HER2+","HK2"
0.000416544011190223,2.14942364385137,0.421,0,1,"HER2+","RRP1B"
0.000416544011190223,3.4254586276436,0.421,0,1,"HER2+","STK36"
0.000416544011190223,3.73070224445599,0.421,0,1,"HER2+","TMEM208"
0.000416544011190223,2.36392226050754,0.421,0,1,"HER2+","TLN2"
0.000416544011190223,3.63966946407684,0.421,0,1,"HER2+","CERS6"
0.000416544011190223,3.36731885012073,0.421,0,1,"HER2+","AGR3"
0.000416544011190223,2.9483310873517,0.421,0,1,"HER2+","AEN"
0.000416544011190223,3.46244759425886,0.421,0,1,"HER2+","SPINK8"
0.000417741259567902,2.13024391249484,0.737,0.478,1,"HER2+","TESMIN"
0.000418153902521107,2.92421305561456,0.789,0.522,1,"HER2+","SHPRH"
0.000418153902521107,2.42396002100933,0.763,0.565,1,"HER2+","CHEK1"
0.000419465105425781,1.91685106243752,0.605,0.13,1,"HER2+","DNHD1"
0.000419465105425781,0.593145049576664,0.605,0.13,1,"HER2+","LOC100419458"
0.000420113946967577,3.12674625596255,0.895,0.739,1,"HER2+","RPS3"
0.000420602927457727,2.23137523675551,0.684,0.348,1,"HER2+","COX19"
0.000421293258939534,0.81601045290795,0.474,0.043,1,"HER2+","DNAH5"
0.000421293258939534,2.41188968397721,0.474,0.043,1,"HER2+","SPOUT1"
0.000422259643860557,2.12547777425535,0.763,0.391,1,"HER2+","LPGAT1"
0.000422259643860557,2.83750976673162,0.763,0.391,1,"HER2+","NKAPD1"
0.000422259643860557,2.34550106306971,0.737,0.435,1,"HER2+","PIGX"
